# 2021 01 26 21 36 34.130 37.1512  -3.7301   0.000 12.11 0 0 0      1
 EMIJ  16.240 1 P
 EMIJ  37.340 1 S
 ESPR  30.577 1 P
 ESPR  59.587 1 S
 EGOR   4.240 1 P
 EGOR  10.050 1 S
 EMIN  37.687 1 P
 EMIN  75.737 1 S
UMV15  -0.150 1 P
UMV15   1.760 1 S
 ECAB  26.489 1 P
 ECAB  50.489 1 S
 EADA  20.940 1 P
 EADA  37.960 1 S
E0802  15.160 1 P
E0802  27.770 1 S
 ETOB  37.120 1 P
 ETOB  69.019 1 S
 EZAR  31.180 1 P
 EZAR  56.380 1 S
 EMUR  35.567 1 P
 TLOR  55.580 1 S
 TLOR  30.090 1 P
 ELOR  30.120 1 P
 ELOR  53.260 1 S
 EQTA   5.867 1 S
 EQTA   2.197 1 P
 ENIJ  20.947 1 P
 ENIJ  44.927 1 S
 EBER  11.937 1 P
 EALB  41.570 1 S
 EALB  22.620 1 P
 ELGU   4.480 1 P
 ELGU  10.120 1 S
# 2021 01 26 21 44 19.527 37.1343  -3.7543   0.000 12.05 0 0 0      2
UMV15   0.113 1 P
UMV15   2.143 1 S
 EMIJ  16.413 1 P
 EMIJ  37.703 1 S
 EGOR   4.443 1 P
 EGOR  10.123 1 S
 ESPR  30.660 1 P
 ESPR  59.570 1 S
 EMIN  37.920 1 P
 EMIN  76.130 1 S
 ECAB  26.733 1 P
 ECAB  50.663 1 S
 EADA  20.963 1 P
 EADA  37.263 1 S
E0802  15.093 1 P
E0802  27.943 1 S
 ETOB  36.652 1 P
 EZAR  56.623 1 S
 EZAR  31.333 1 P
 EMUR  35.610 1 P
 TLOR  30.383 1 P
 TLOR  56.283 1 S
 ELOR  29.523 1 P
 ELOR  53.363 1 S
 EQTA   2.500 1 P
 EQTA   5.630 1 S
 ENIJ  43.950 1 S
 EBER  12.220 1 P
 EALB  42.743 1 S
 EALB  22.583 1 P
 ELGU   4.493 1 P
 ELGU  10.223 1 S
# 2021 01 26 21 54 55.528 37.1678  -3.7962   1.000 12.27 0 0 0      3
 EMIJ  17.742 1 P
 EMIJ  37.582 1 S
 ESPR  31.989 1 P
 EGOR   5.292 1 P
 EGOR  11.502 1 S
 EMIN  38.949 1 P
 EMIN  48.089 1 S
UMV15   0.852 1 P
UMV15   2.502 1 S
 ECAB  29.442 1 P
 ECAB  51.822 1 S
 EADA  39.382 1 S
 EADA  22.172 1 P
E0802  15.962 1 P
E0802  29.012 1 S
 ETOB  38.682 1 P
 ETOB  70.441 1 S
 EZAR  32.342 1 P
 EZAR  57.282 1 S
 EMUR  36.349 1 P
 EMUR  64.589 1 S
 TLOR  31.362 1 P
 ELOR  30.582 1 P
 ELOR  54.582 1 S
 EQTA   3.549 1 P
 EQTA   6.789 1 S
 ENIJ  22.099 1 P
 EBER  13.229 1 P
 EBER  23.309 1 S
 EALB  43.942 1 S
 EALB  23.622 1 P
 ELGU   5.892 1 P
 ELGU  10.912 1 S
