# 2022 02 01 01 35 29.107 42.6016   1.0848  28.018  9.38 0 0 0      1
 CSOR  -0.067 1 S
 CEST  -1.417 1 S
 CEST  -6.247 1 P
 SALF  -6.847 1 P
 SALF  -2.097 1 S
 GENF   7.163 1 S
 PAND   6.733 1 S
 CORG   6.233 1 S
 CORG  -2.127 1 P
# 2022 02 01 02 03  8.047 42.5345   1.4443  28.907 12.49 0 0 0      2
 ARBS  -5.687 1 P
 ARBS  -3.747 1 S
 CORG  -2.277 1 P
 CORG   2.693 1 S
 PAND  -6.147 1 P
 PAND  -4.717 1 S
 CSOR  -2.877 1 P
 CSOR   0.993 1 S
 CEST  -4.837 1 P
 CEST  -2.847 1 S
 SALF  -2.387 1 P
 SALF   1.443 1 S
 GENF  -1.907 1 P
 GENF   2.473 1 S
 FNEB   3.773 1 P
 FNEB  12.703 1 S
 CARF   1.853 1 P
 CARF   9.223 1 S
 VALC   0.543 1 P
 VALC   7.393 1 S
# 2022 02 01 02 07 59.336 42.5271   1.4202   3.000  9.23 0 0 0      3
 ARBS   2.404 1 P
 ARBS   4.294 1 S
 CORG  10.734 1 S
 PAND   1.934 1 P
 PAND   3.324 1 S
 CSOR   4.444 1 P
 CSOR   9.444 1 S
 CEST   5.314 1 S
 CEST   3.194 1 P
 SALF   6.004 1 P
 SALF   9.544 1 S
 GENF   6.204 1 P
 GENF  10.484 1 S
# 2022 02 01 02 10 17.784 42.5350   1.4422  31.890 10.71 0 0 0      4
 ARBS  -5.704 1 P
 ARBS  -3.804 1 S
 CORG  -2.214 1 P
 CORG   2.616 1 S
 PAND  -6.164 1 P
 PAND  -4.764 1 S
 CSOR  -2.934 1 P
 CSOR   0.936 1 S
 CEST  -4.944 1 P
 CEST  -2.834 1 S
 SALF  -2.364 1 P
 SALF   1.446 1 S
 GENF  -1.914 1 P
 GENF   2.386 1 S
 FNEB   3.886 1 P
 FNEB  12.496 1 S
 CARF   1.856 1 P
 CARF   9.246 1 S
 VALC   0.516 1 P
 VALC   7.976 1 S
# 2022 02 01 02 15 56.330 42.5576   1.4807  17.108  9.42 0 0 0      5
 ARBS   0.170 1 S
 PAND  -6.580 1 P
 PAND  -5.190 1 S
 CSOR   0.210 1 P
 CSOR   5.520 1 S
 CEST  -3.350 1 P
 CEST   1.190 1 S
 SALF   0.910 1 P
 SALF   1.350 1 S
 GENF   6.410 1 S
# 2022 02 01 02 23 34.125 42.5324   1.4278   4.080  9.59 0 0 0      6
 ARBS   2.545 1 P
 ARBS   4.215 1 S
 CORG   6.235 1 P
 CORG  10.745 1 S
 PAND   2.075 1 P
 PAND   3.455 1 S
 CSOR   5.345 1 P
 CSOR   9.085 1 S
 CEST   3.355 1 P
 CEST   5.385 1 S
 SALF   5.855 1 P
 SALF   9.765 1 S
 GENF   6.325 1 P
 GENF  10.565 1 S
 CARF  17.405 1 S
# 2022 02 01 02 30 37.711 42.5324   1.4317  33.487  9.63 0 0 0      7
 ARBS  -4.711 1 P
 ARBS  -2.961 1 S
 CORG  -1.131 1 P
 CORG   3.659 1 S
 PAND  -5.161 1 P
 PAND  -3.791 1 S
 CSOR  -1.831 1 P
 CSOR   1.819 1 S
 CEST  -3.771 1 P
 CEST  -1.721 1 S
 SALF  -1.361 1 P
 SALF   2.429 1 S
 GENF  -0.911 1 P
 GENF   3.369 1 S
 CARF  10.179 1 S
 VALC   8.689 1 S
# 2022 02 01 02 32 40.694 42.1758   1.3152   3.000 11.98 0 0 0      8
 SALF  14.176 1 P
 SALF  17.676 1 S
 CEST   8.576 1 P
 CEST  13.186 1 S
 PAND   9.786 1 P
 PAND  11.156 1 S
