Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
CSOR	?	?	?	S	?	20220201	0135	29.040	GAU	1.00E-02	-1.00E+00	19100000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0135	27.690	GAU	7.50E-03	-1.00E+00	16900000.0	-1.00E+00
CEST	?	?	?	P	?	20220201	0135	22.860	GAU	1.50E-02	-1.00E+00	16600000.0	-1.00E+00
SALF	?	?	?	P	?	20220201	0135	22.260	GAU	5.00E-03	-1.00E+00	4640000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0135	27.010	GAU	5.00E-03	-1.00E+00	7080000000.0	-1.00E+00
GENF	?	?	?	S	?	20220201	0135	36.270	GAU	2.00E-02	-1.00E+00	7680000.0	-1.00E+00
PAND	?	?	?	S	?	20220201	0135	35.840	GAU	2.00E-02	-1.00E+00	1540000000.0	-1.00E+00
CORG	?	?	?	S	?	20220201	0135	35.340	GAU	2.00E-02	-1.00E+00	8130000.0	-1.00E+00
CORG	?	?	?	P	?	20220201	0135	26.980	GAU	2.00E-02	-1.00E+00	6090000.0	-1.00E+00

Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
ARBS	?	?	?	P	?	20220201	0203	02.360	GAU	2.50E-03	-1.00E+00	6140000000.0	-1.00E+00
ARBS	?	?	?	S	?	20220201	0203	04.300	GAU	1.00E-02	-1.00E+00	15900000000.0	-1.00E+00
CORG	?	?	?	P	?	20220201	0203	05.770	GAU	5.00E-03	-1.00E+00	3980000000.0	-1.00E+00
CORG	?	?	?	S	?	20220201	0203	10.740	GAU	1.50E-02	-1.00E+00	3980000000.0	-1.00E+00
PAND	?	?	?	P	?	20220201	0203	01.900	GAU	2.50E-03	-1.00E+00	14600000000000.0	-1.00E+00
PAND	?	?	?	S	?	20220201	0203	03.330	GAU	5.00E-03	-1.00E+00	24200000000000.0	-1.00E+00
CSOR	?	?	?	P	?	20220201	0203	05.170	GAU	2.50E-03	-1.00E+00	13100000000.0	-1.00E+00
CSOR	?	?	?	S	?	20220201	0203	09.040	GAU	5.00E-03	-1.00E+00	24000000000.0	-1.00E+00
CEST	?	?	?	P	?	20220201	0203	03.210	GAU	5.00E-03	-1.00E+00	16800000000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0203	05.200	GAU	7.50E-03	-1.00E+00	16800000000.0	-1.00E+00
SALF	?	?	?	P	?	20220201	0203	05.660	GAU	7.50E-03	-1.00E+00	2760000000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0203	09.490	GAU	1.00E-02	-1.00E+00	2760000000000.0	-1.00E+00
GENF	?	?	?	P	?	20220201	0203	06.140	GAU	5.00E-03	-1.00E+00	2850000000.0	-1.00E+00
GENF	?	?	?	S	?	20220201	0203	10.520	GAU	7.50E-03	-1.00E+00	5300000000.0	-1.00E+00
FNEB	?	?	?	P	?	20220201	0203	11.820	GAU	5.00E-03	-1.00E+00	142000000000.0	-1.00E+00
FNEB	?	?	?	S	?	20220201	0203	20.750	GAU	1.00E-02	-1.00E+00	383000000000.0	-1.00E+00
CARF	?	?	?	P	?	20220201	0203	09.900	GAU	2.50E-03	-1.00E+00	415000000000.0	-1.00E+00
CARF	?	?	?	S	?	20220201	0203	17.270	GAU	1.00E-02	-1.00E+00	998000000000.0	-1.00E+00
VALC	?	?	?	P	?	20220201	0203	08.590	GAU	2.50E-03	-1.00E+00	1440000000.0	-1.00E+00
VALC	?	?	?	S	?	20220201	0203	15.440	GAU	1.50E-02	-1.00E+00	2470000000.0	-1.00E+00

Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
ARBS	?	?	?	P	?	20220201	0208	01.740	GAU	7.50E-03	-1.00E+00	11100000.0	-1.00E+00
ARBS	?	?	?	S	?	20220201	0208	03.630	GAU	2.00E-02	-1.00E+00	9230000.0	-1.00E+00
CORG	?	?	?	S	?	20220201	0208	10.070	GAU	2.00E-02	-1.00E+00	3900000.0	-1.00E+00
PAND	?	?	?	P	?	20220201	0208	01.270	GAU	2.50E-03	-1.00E+00	21200000000.0	-1.00E+00
PAND	?	?	?	S	?	20220201	0208	02.660	GAU	2.50E-03	-1.00E+00	21200000000.0	-1.00E+00
CSOR	?	?	?	P	?	20220201	0208	03.780	GAU	2.00E-02	-1.00E+00	13300000.0	-1.00E+00
CSOR	?	?	?	S	?	20220201	0208	08.780	GAU	2.00E-02	-1.00E+00	9410000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0208	04.650	GAU	5.00E-03	-1.00E+00	9440000.0	-1.00E+00
CEST	?	?	?	P	?	20220201	0208	02.530	GAU	5.00E-03	-1.00E+00	10400000.0	-1.00E+00
SALF	?	?	?	P	?	20220201	0208	05.340	GAU	1.00E-02	-1.00E+00	3140000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0208	08.880	GAU	1.00E-02	-1.00E+00	5000000000.0	-1.00E+00
GENF	?	?	?	P	?	20220201	0208	05.540	GAU	7.50E-03	-1.00E+00	4390000.0	-1.00E+00
GENF	?	?	?	S	?	20220201	0208	09.820	GAU	1.00E-02	-1.00E+00	6330000.0	-1.00E+00

Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
ARBS	?	?	?	P	?	20220201	0210	12.080	GAU	2.50E-03	-1.00E+00	80500000.0	-1.00E+00
ARBS	?	?	?	S	?	20220201	0210	13.980	GAU	7.50E-03	-1.00E+00	124000000.0	-1.00E+00
CORG	?	?	?	P	?	20220201	0210	15.570	GAU	7.50E-03	-1.00E+00	50500000.0	-1.00E+00
CORG	?	?	?	S	?	20220201	0210	20.400	GAU	2.00E-02	-1.00E+00	50500000.0	-1.00E+00
PAND	?	?	?	P	?	20220201	0210	11.620	GAU	2.50E-03	-1.00E+00	245000000000.0	-1.00E+00
